Price,Close
Ticker,INR=X
Date,
2022-01-03,74.51380157470703
2022-01-04,74.4032974243164
2022-01-05,74.53489685058594
2022-01-06,74.43009948730469
2022-01-07,74.41929626464844
2022-01-10,74.2699966430664
2022-01-11,74.05699920654297
2022-01-12,73.81529998779297
2022-01-13,73.79910278320312
2022-01-14,73.97229766845703
2022-01-17,74.37899780273438
2022-01-18,74.25509643554688
2022-01-19,74.61969757080078
2022-01-20,74.44920349121094
2022-01-21,74.45220184326172
2022-01-24,74.41320037841797
2022-01-25,74.6447982788086
2022-01-26,74.77999877929688
2022-01-27,74.8949966430664
2022-01-28,75.20929718017578
2022-01-31,75.03900146484375
2022-02-01,74.55580139160156
2022-02-02,74.74549865722656
2022-02-03,74.82240295410156
2022-02-04,74.6438980102539
2022-02-07,74.64219665527344
2022-02-08,74.6583023071289
2022-02-09,74.69519805908203
2022-02-10,74.80889892578125
2022-02-11,75.53839874267578
2022-02-14,75.34100341796875
2022-02-15,75.6854019165039
2022-02-16,75.17479705810547
2022-02-17,75.04199981689453
2022-02-18,75.06300354003906
2022-02-21,74.68240356445312
2022-02-22,74.51699829101562
2022-02-23,74.62300109863281
2022-02-24,74.63300323486328
2022-02-25,75.4083023071289
2022-02-28,75.06800079345703
2022-03-01,75.28479766845703
2022-03-02,75.80120086669922
2022-03-03,75.63099670410156
2022-03-04,75.8917007446289
2022-03-07,76.41799926757812
2022-03-08,77.08080291748047
2022-03-09,76.91449737548828
2022-03-10,76.13490295410156
2022-03-11,76.310302734375
2022-03-14,76.75370025634766
2022-03-15,76.49009704589844
2022-03-16,76.26589965820312
2022-03-17,76.02420043945312
2022-03-18,75.98159790039062
2022-03-21,75.94640350341797
2022-03-22,76.30709838867188
2022-03-23,76.10189819335938
2022-03-24,76.55239868164062
2022-03-25,76.32350158691406
2022-03-28,76.27850341796875
2022-03-29,76.03410339355469
2022-03-30,75.66670227050781
2022-03-31,75.82779693603516
2022-04-01,75.9092025756836
2022-04-04,75.99479675292969
2022-04-05,75.47799682617188
2022-04-06,75.45069885253906
2022-04-07,75.94509887695312
2022-04-08,75.91320037841797
2022-04-11,75.91729736328125
2022-04-12,75.83699798583984
2022-04-13,76.1498031616211
2022-04-14,76.12169647216797
2022-04-15,76.30879974365234
2022-04-18,76.3313980102539
